Name,Version,License
tqdm,4.67.3,MPL-2.0 AND MIT
traitlets,5.14.3,BSD License
trimesh,4.11.3,MIT License
typeguard,4.5.1,MIT
typer,0.24.1,MIT
typing-inspection,0.4.2,MIT
typing_extensions,4.15.0,PSF-2.0
tyro,1.0.8,MIT
tzdata,2025.3,Apache-2.0
urllib3,2.6.3,MIT
uvicorn,0.41.0,BSD-3-Clause
vhacdx,0.0.10,
viser,0.2.23,MIT
wcwidth,0.6.0,MIT
websockets,14.2,BSD-3-Clause
Werkzeug,3.1.6,BSD-3-Clause
wheel,0.46.3,MIT
widgetsnbextension,4.0.15,BSD 3-Clause License
xxhash,3.6.0,BSD
yourdfpy,0.0.60,MIT
zipp,3.23.0,MIT
