Image,Component,Origin,License,Distributed by you?,Comments
scenescape-controller,libarchive13t64:amd64:3.7.2-2ubuntu0.5,Ubuntu,BSD-2-Clause,Y,indirect dependency automatically installed
scenescape-controller,libopenjp2-7:amd64:2.5.0-2ubuntu0.3,Ubuntu,BSD-2-Clause,Y,indirect dependency automatically installed
scenescape-manager,libmpdec3:amd64:2.5.1-2build2,Ubuntu,BSD-2-Clause,Y,indirect dependency automatically installed
scenescape-secrets,libmpdec3:2.5.1-2build2,Ubuntu,BSD-2-Clause,N,indirect dependency automatically installed
scenescape-camcalibration,decorator==5.2.1,pypi,BSD-2-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,pyasn1==0.6.1,pypi,BSD-2-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,pyasn1_modules==0.4.2,pypi,BSD-2-Clause,Y,indirect dependency. auto installed
scenescape-controller,decorator==5.2.1,pypi,BSD-2-Clause,Y,indirect dependency. auto installed
scenescape-manager,decorator==5.2.1,pypi,BSD-2-Clause,Y,indirect dependency. auto installed
scenescape-manager,pyasn1==0.6.1,pypi,BSD-2-Clause,Y,indirect dependency. auto installed
scenescape-manager,pyasn1_modules==0.4.2,pypi,BSD-2-Clause,Y,indirect dependency. auto installed
scenescape-camcalibration,libmpdec3:amd64:2.5.1-2build2,Ubuntu,BSD-2-Clause and GPL-2.0,Y,indirect dependency automatically installed
scenescape-camcalibration,libbsd0:amd64:0.11.5-1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-camcalibration,libedit2:amd64:3.1-20210910-1build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-camcalibration,libmd0:amd64:1.0.4-1build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libarpack2t64:amd64:3.9.1-1.1build2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libblas3:amd64:3.12.0-3build1.1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libblosc1:amd64:1.21.5+ds-1build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libbsd0:amd64:0.12.1-1build1.1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libcharls2:amd64:2.4.2-2build2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libcurl3t64-gnutls:amd64:8.5.0-2ubuntu10.6,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libcurl4t64:amd64:8.5.0-2ubuntu10.6,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libdouble-conversion3:amd64:3.3.0-1build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libedit2:amd64:3.1-20230828-1build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libgdcm3.0t64:amd64:3.0.22-2.1ubuntu1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libhdf4-0-alt:amd64:4.2.16-4build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libhdf5-103-1t64:amd64:1.10.10+repack-3.1ubuntu4,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libhdf5-hl-100t64:amd64:1.10.10+repack-3.1ubuntu4,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libhwloc15:amd64:2.10.0-1build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libimath-3-1-29t64:amd64:3.1.9-3.1ubuntu2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libjpeg-turbo8:amd64:2.1.5-2ubuntu2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libkeyutils1:amd64:1.6.3-3build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libkmlbase1t64:amd64:1.3.0-12build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libkmldom1t64:amd64:1.3.0-12build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libkmlengine1t64:amd64:1.3.0-12build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,liblapack3:amd64:3.12.0-3build1.1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,liblcms2-2:amd64:2.14-2build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,liblept5:amd64:1.82.0-3build4,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libltdl7:amd64:2.4.7-7build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libnss3:amd64:2:3.98-1build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libopenexr-3-1-30:amd64:3.1.5-5.1build3,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libopengl0:amd64:1.7.0-1build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libpcre2-16-0:amd64:10.42-4ubuntu2.1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libpng16-16t64:amd64:1.6.43-5build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libproj25:amd64:9.4.0-1build2,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
scenescape-controller,libsnappy1v5:amd64:1.1.10-1build1,Ubuntu,BSD-3-Clause,Y,indirect dependency automatically installed
